Language,Dialect,DialectAlt,DialectContinuum,DialectContinuumAlt,SubDialect,SubDialectAlt,NativeSpeakers,LocationCountry,LocationCountryInfo,Level1Eng,Level2Eng,Level1Kur,Level2Kur,LocationOld,LocationAlt,LocationKur,LocationType,LocationInfo,,,DialectDensity,NativeSpeakersYear,OfficialLanguage,Notes,Sources
Kurdish,Northern Kurdish,Kurmanji,,,,,,Iraq,,,Akrej,,acreage,Akrej,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Iraq,,,Mosul,,Mûsil,Mosul,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Iran,,,Orumiyeh,,Ormiyeh,Orumiyeh,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Dersim,,dersa min,Dersim,,,City,,,,middle,,,,(Salam 2020)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Syria,,,Afrin,,Efrîn,Afrin,,,City,,,,middle,,,,(Salam 2020)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Diyarbakir,,Amed,Diyarbakir,,,City,,,,middle,,,,(Salam 2020)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Wan,,Wan,Wan,,,City,,,,middle,,,,(Salam 2020)
Kurdish,Central Kurdish,Sorani,,,,,8000000,,,,,,,,,,,,,,,2021,"Kurdistan Region, Iraq",,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Central Kurdish,Sorani,,,,,4000000,Iraq,,,,,,,,,,Southern,,,,-1,"Kurdistan Region, Iraq",,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Central Kurdish,Sorani,,,,,7000000,Iran,,,,,,,,,,,,,,-1,,,
Kurdish,Central Kurdish,Sorani,,,,,-1,,,Mukri,,Mukrî,,Mukri,,,,,,,,-1,"Kurdistan Region, Iraq",,SpracheNAVENDZentrumFurKurdischeStudiumeV
Kurdish,Central Kurdish,Sorani,,,Ardalani,,,,,,,,,,,,,,,,,,,,
